pdb_id,ligand_atoms,protein_residues,mean_rmse,final_rmse,final_stability,final_com_error,final_rg_error
4EZ5,36,252,21.214948,38.750050,65.895065,38.554325,0.083742
1K9Q,46,40,13.860659,26.982782,29.111530,25.717815,1.960511
3NDM,27,774,12.866595,12.458973,75.308640,12.424542,0.191023
3OB0,46,429,12.624952,22.105280,53.875237,22.004692,0.085701
4NMX,123,367,10.767828,11.560975,40.723114,11.332504,0.333008
6G2R,31,158,9.525476,11.214753,90.218521,11.177827,0.054196
3ZXH,27,659,9.499638,9.520519,61.316872,9.448609,0.083983
3MEA,36,161,9.117150,12.774260,46.450619,12.423913,0.114389
4JRG,35,84,8.766258,10.764716,47.102039,10.306506,0.427078
3H91,69,103,8.735236,14.642317,36.147869,13.360013,0.228308
1X7A,37,331,6.780068,8.148466,84.222061,7.793395,0.075984
5DW1,31,111,6.565136,9.194331,78.147766,9.166200,0.188594
5DX4,28,126,6.397543,5.619887,57.142857,5.464972,0.286268
1URC,46,553,6.360145,13.942148,52.551987,13.693012,0.362482
4NMS,61,87,6.139504,6.672077,45.606018,4.919681,0.650687
